Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
Server;03_Crossing_RuiBarbosa;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;03_Crossing_RuiBarbosa;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;03_Crossing_RuiBarbosa;[Resource];Run;Capacity;UnitsUtilized;Average;2,31296463463574E-17
Server;03_Crossing_RuiBarbosa;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;03_Crossing_RuiBarbosa;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeProcessing;Average;5,55111512312578E-17
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeProcessing;Occurrences;5
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeProcessing;Percent;2,31296463463574E-15
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeProcessing;Total;2,77555756156289E-16
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeStarved;Average;2
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeStarved;Occurrences;6
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeStarved;Percent;100
Server;03_Crossing_RuiBarbosa;[Resource];Run;ResourceState;TimeStarved;Total;12
Server;04_Crossing_FransiscoJoaquim;InputBuffer;Run;Throughput;NumberEntered;Total;589
Server;04_Crossing_FransiscoJoaquim;InputBuffer;Run;Throughput;NumberExited;Total;589
Server;04_Crossing_FransiscoJoaquim;OutputBuffer;Run;Throughput;NumberEntered;Total;589
Server;04_Crossing_FransiscoJoaquim;OutputBuffer;Run;Throughput;NumberExited;Total;589
Server;04_Crossing_FransiscoJoaquim;Processing;Run;Throughput;NumberEntered;Total;589
Server;04_Crossing_FransiscoJoaquim;Processing;Run;Throughput;NumberExited;Total;589
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;ScheduledUtilization;Percent;0
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;UnitsAllocated;Total;589
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;UnitsUtilized;Average;0
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;ResourceState;TimeStarved;Average;12
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;ResourceState;TimeStarved;Occurrences;1
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;ResourceState;TimeStarved;Percent;100
Server;04_Crossing_FransiscoJoaquim;[Resource];Run;ResourceState;TimeStarved;Total;12
Server;05_Crossing_AvBrasil;InputBuffer;Run;Throughput;NumberEntered;Total;589
Server;05_Crossing_AvBrasil;InputBuffer;Run;Throughput;NumberExited;Total;589
Server;05_Crossing_AvBrasil;OutputBuffer;Run;Throughput;NumberEntered;Total;589
Server;05_Crossing_AvBrasil;OutputBuffer;Run;Throughput;NumberExited;Total;589
Server;05_Crossing_AvBrasil;Processing;Run;Content;NumberInStation;Average;1,23974904416476E-15
Server;05_Crossing_AvBrasil;Processing;Run;Content;NumberInStation;Maximum;1
Server;05_Crossing_AvBrasil;Processing;Run;Content;NumberInStation;Minimum;0
Server;05_Crossing_AvBrasil;Processing;Run;HoldingTime;TimeInStation;Average;2,52580450424059E-17
Server;05_Crossing_AvBrasil;Processing;Run;HoldingTime;TimeInStation;Maximum;4,44089209850063E-16
Server;05_Crossing_AvBrasil;Processing;Run;HoldingTime;TimeInStation;Minimum;0
Server;05_Crossing_AvBrasil;Processing;Run;Throughput;NumberEntered;Total;589
Server;05_Crossing_AvBrasil;Processing;Run;Throughput;NumberExited;Total;589
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;ScheduledUtilization;Percent;1,23974904416476E-13
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;UnitsAllocated;Total;589
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;UnitsUtilized;Average;1,23974904416476E-15
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;05_Crossing_AvBrasil;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeProcessing;Average;4,02080771080462E-16
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeProcessing;Occurrences;37
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeProcessing;Percent;1,23974904416476E-13
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeProcessing;Total;1,48769885299771E-14
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeStarved;Average;0,31578947368421
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeStarved;Occurrences;38
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeStarved;Percent;99,9999999999999
Server;05_Crossing_AvBrasil;[Resource];Run;ResourceState;TimeStarved;Total;12
Server;06_Crossing_JoseCarvalho;InputBuffer;Run;Throughput;NumberEntered;Total;589
Server;06_Crossing_JoseCarvalho;InputBuffer;Run;Throughput;NumberExited;Total;589
Server;06_Crossing_JoseCarvalho;OutputBuffer;Run;Throughput;NumberEntered;Total;589
Server;06_Crossing_JoseCarvalho;OutputBuffer;Run;Throughput;NumberExited;Total;589
Server;06_Crossing_JoseCarvalho;Processing;Run;Throughput;NumberEntered;Total;589
Server;06_Crossing_JoseCarvalho;Processing;Run;Throughput;NumberExited;Total;589
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;ScheduledUtilization;Percent;0
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;UnitsAllocated;Total;589
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;06_Crossing_JoseCarvalho;[Resource];Run;Capacity;UnitsUtilized;Average;0
